ano;codmunres;nascidos_vivos_peso_menor_1500;nascidos_vivos_peso_2000_a_2499;nascidos_vivos_peso_1500_a_1999;nascidos_vivos_menos_de_28_semanas;nascidos_vivos_28_a_32_semanas;nascidos_vivos_33_a_34_semanas;nascidos_vivos_35_a_36_semanas;total_de_nascidos_vivos;nascidos_vivos_com_baixo_peso;nascidos_vivos_prematuros;nascidos_vivos_termo_precoce
2012;171855;0;0;0;0;1;0;2;69;0;3;19
2012;171865;1;2;2;1;0;1;6;37;5;8;9
2012;171870;0;0;0;0;0;1;2;32;0;3;7
2012;171875;0;0;1;1;2;1;5;69;1;9;23
2012;171880;0;0;4;0;1;2;7;82;4;10;23
2012;171884;0;2;2;0;1;2;3;44;4;6;7
2012;171886;0;0;6;0;1;1;12;103;6;14;21
2012;171888;0;0;5;0;1;2;4;56;5;7;21
2012;171889;0;0;2;0;2;0;2;32;2;4;8
2012;171890;2;2;4;0;4;1;4;76;8;9;16
2012;171900;0;0;1;0;1;1;5;47;1;7;8
2012;172000;0;0;2;0;1;0;2;41;2;3;7
2012;172010;0;0;3;0;0;1;5;82;3;6;18
2012;172015;1;1;2;0;2;3;0;26;4;5;9
2012;172020;1;0;13;0;0;6;12;134;14;18;37
2012;172025;1;0;1;0;1;0;1;29;2;3;5
2012;172030;0;1;6;0;0;0;7;71;7;7;20
2012;172049;1;0;4;0;1;1;8;52;5;11;13
2012;172065;2;3;2;1;3;8;2;90;7;14;24
2012;172080;0;1;4;1;1;4;9;133;5;15;28
2012;172085;0;0;0;0;0;0;1;23;0;1;6
2012;172090;1;3;15;0;5;8;13;211;19;26;75
2012;172093;0;0;1;0;1;0;2;29;1;3;7
2012;172097;0;1;1;0;0;2;2;37;2;4;7
2012;172100;48;66;233;25;91;149;359;4713;347;624;1421
2012;172110;2;2;5;1;4;4;7;183;9;16;41
2012;172120;3;9;17;4;5;22;34;420;29;65;97
2012;172125;0;0;0;1;0;0;3;19;0;4;2
2012;172130;0;0;2;0;0;2;4;34;2;6;10
2012;172208;0;0;11;0;1;5;12;134;11;18;37
2012;172210;3;1;13;3;1;10;21;245;17;35;54
2012;210005;17;19;79;7;36;70;141;1934;115;254;487
2012;210010;1;0;7;0;1;3;12;113;8;18;19
2012;210015;1;1;7;1;1;3;10;150;9;15;44
2012;210020;7;3;16;2;10;8;19;283;26;40;70
2012;210030;3;2;22;0;0;0;3;468;27;4;11
2012;210040;1;2;5;0;4;3;4;107;8;12;21
2012;210043;2;4;21;1;6;13;26;428;27;46;73
2012;210047;2;0;28;3;6;6;29;511;30;44;118
2012;210050;0;0;10;0;4;6;12;201;10;22;41
2012;210055;2;0;3;0;1;2;8;103;5;11;22
2012;210060;7;4;22;2;24;16;56;836;33;98;164
2012;210070;1;4;20;1;5;9;22;327;25;37;59
2012;210080;1;3;25;1;6;5;22;342;29;34;93
2012;210083;2;1;14;1;5;4;13;289;17;24;26
2012;210087;2;1;10;0;5;4;11;158;13;20;34
2012;210090;2;1;20;2;6;13;31;553;23;53;125
2012;210095;2;1;23;1;3;16;35;679;26;56;102
2012;210100;5;4;25;3;3;11;32;471;34;49;103
