"codmunres","municipio","uf","regiao","ano","nascidos","obitos_fetais_totais","obitos_fetais_mais_22sem"
"110146","Pimenteiras do Oeste","RO","Norte",2015,"52",1,0
"110146","Pimenteiras do Oeste","RO","Norte",2016,"34",0,0
"110146","Pimenteiras do Oeste","RO","Norte",2017,"52",1,1
"110146","Pimenteiras do Oeste","RO","Norte",2018,"52",0,0
"110146","Pimenteiras do Oeste","RO","Norte",2019,"40",0,0
"110146","Pimenteiras do Oeste","RO","Norte",2020,"39",0,0
"110147","Primavera de Rondônia","RO","Norte",2012,"43",0,0
"110147","Primavera de Rondônia","RO","Norte",2013,"39",0,0
"110147","Primavera de Rondônia","RO","Norte",2014,"47",0,0
"110147","Primavera de Rondônia","RO","Norte",2015,"40",1,1
"110147","Primavera de Rondônia","RO","Norte",2016,"56",0,0
"110147","Primavera de Rondônia","RO","Norte",2017,"63",0,0
"110147","Primavera de Rondônia","RO","Norte",2018,"38",0,0
"110147","Primavera de Rondônia","RO","Norte",2019,"43",0,0
"110147","Primavera de Rondônia","RO","Norte",2020,"38",2,2
"110148","São Felipe D'Oeste","RO","Norte",2012,"64",0,0
"110148","São Felipe D'Oeste","RO","Norte",2013,"61",0,0
"110148","São Felipe D'Oeste","RO","Norte",2014,"59",1,1
"110148","São Felipe D'Oeste","RO","Norte",2015,"73",1,1
"110148","São Felipe D'Oeste","RO","Norte",2016,"54",0,0
"110148","São Felipe D'Oeste","RO","Norte",2017,"75",0,0
"110148","São Felipe D'Oeste","RO","Norte",2018,"54",1,1
"110148","São Felipe D'Oeste","RO","Norte",2019,"54",2,2
"110148","São Felipe D'Oeste","RO","Norte",2020,"65",0,0
"110149","São Francisco do Guaporé","RO","Norte",2012,"246",5,4
"110149","São Francisco do Guaporé","RO","Norte",2013,"266",4,3
"110149","São Francisco do Guaporé","RO","Norte",2014,"308",2,2
"110149","São Francisco do Guaporé","RO","Norte",2015,"319",0,0
"110149","São Francisco do Guaporé","RO","Norte",2016,"305",2,2
"110149","São Francisco do Guaporé","RO","Norte",2017,"333",3,3
"110149","São Francisco do Guaporé","RO","Norte",2018,"327",3,3
"110149","São Francisco do Guaporé","RO","Norte",2019,"303",3,3
"110149","São Francisco do Guaporé","RO","Norte",2020,"266",2,1
"110150","Seringueiras","RO","Norte",2012,"190",1,1
"110150","Seringueiras","RO","Norte",2013,"184",1,1
"110150","Seringueiras","RO","Norte",2014,"170",1,1
"110150","Seringueiras","RO","Norte",2015,"188",1,1
"110150","Seringueiras","RO","Norte",2016,"171",0,0
"110150","Seringueiras","RO","Norte",2017,"188",0,0
"110150","Seringueiras","RO","Norte",2018,"154",1,1
"110150","Seringueiras","RO","Norte",2019,"168",1,1
"110150","Seringueiras","RO","Norte",2020,"162",2,2
"110155","Teixeirópolis","RO","Norte",2012,"57",1,1
"110155","Teixeirópolis","RO","Norte",2013,"80",0,0
"110155","Teixeirópolis","RO","Norte",2014,"69",0,0
"110155","Teixeirópolis","RO","Norte",2015,"71",0,0
"110155","Teixeirópolis","RO","Norte",2016,"59",0,0
"110155","Teixeirópolis","RO","Norte",2017,"58",0,0
"110155","Teixeirópolis","RO","Norte",2018,"60",0,0
"110155","Teixeirópolis","RO","Norte",2019,"64",0,0
"110155","Teixeirópolis","RO","Norte",2020,"42",0,0
"110160","Theobroma","RO","Norte",2012,"133",0,0
"110160","Theobroma","RO","Norte",2013,"106",2,2
"110160","Theobroma","RO","Norte",2014,"125",2,2
"110160","Theobroma","RO","Norte",2015,"107",3,2
"110160","Theobroma","RO","Norte",2016,"131",2,2
"110160","Theobroma","RO","Norte",2017,"146",1,1
"110160","Theobroma","RO","Norte",2018,"131",3,2
"110160","Theobroma","RO","Norte",2019,"97",3,2
"110160","Theobroma","RO","Norte",2020,"115",3,3
"110170","Urupá","RO","Norte",2012,"146",1,1
"110170","Urupá","RO","Norte",2013,"150",1,1
"110170","Urupá","RO","Norte",2014,"122",1,1
"110170","Urupá","RO","Norte",2015,"138",3,3
"110170","Urupá","RO","Norte",2016,"151",1,0
"110170","Urupá","RO","Norte",2017,"150",1,1
"110170","Urupá","RO","Norte",2018,"139",1,0
"110170","Urupá","RO","Norte",2019,"170",4,3
"110170","Urupá","RO","Norte",2020,"143",0,0
"110175","Vale do Anari","RO","Norte",2012,"86",0,0
"110175","Vale do Anari","RO","Norte",2013,"89",3,2
"110175","Vale do Anari","RO","Norte",2014,"128",1,1
