"codmunres";"ano";"nascidos_vivos_asfixia1";"total_de_nascidos_vivos"
110155;2013;0;73
110155;2014;0;66
110155;2015;0;58
110155;2016;0;57
110155;2017;0;54
110155;2018;0;55
110155;2019;0;60
110155;2020;0;39
110155;2021;0;44
110160;2012;0;119
110160;2013;0;96
110160;2014;1;106
110160;2015;0;99
110160;2016;0;117
110160;2017;0;130
110160;2018;0;113
110160;2019;0;82
110160;2020;0;100
110160;2021;0;79
110170;2012;1;124
110170;2013;1;136
110170;2014;0;108
110170;2015;1;125
110170;2016;1;136
110170;2017;0;136
110170;2018;0;126
110170;2019;0;147
110170;2020;2;131
110170;2021;1;139
110175;2012;1;73
110175;2013;3;72
110175;2014;0;119
110175;2015;0;91
110175;2016;0;96
110175;2017;1;81
110175;2018;0;78
110175;2019;1;86
110175;2020;0;64
110175;2021;1;68
110180;2012;0;73
110180;2013;0;101
110180;2014;0;78
110180;2015;0;56
110180;2016;0;85
110180;2017;1;74
110180;2018;1;89
110180;2019;1;77
110180;2020;0;54
110180;2021;0;62
120000;2012;0;1
120000;2021;0;1
120001;2012;0;141
120001;2013;1;182
120001;2014;2;159
120001;2015;3;132
120001;2016;0;168
120001;2017;2;198
120001;2018;1;171
120001;2019;2;214
120001;2020;0;185
120001;2021;1;150
120005;2012;1;119
120005;2013;0;125
120005;2014;1;122
120005;2015;1;133
120005;2016;2;107
120005;2017;2;177
120005;2018;3;190
120005;2019;4;200
120005;2020;1;156
120005;2021;0;178
120010;2012;4;143
120010;2013;5;145
120010;2014;6;159
120010;2015;2;169
120010;2016;4;177
120010;2017;3;356
120010;2018;5;411
120010;2019;3;402
120010;2020;3;363
120010;2021;2;365
120013;2012;1;101
120013;2013;0;124
120013;2014;1;130
120013;2015;1;149
120013;2016;1;176
120013;2017;0;230
120013;2018;0;213
120013;2019;6;263
120013;2020;1;164
120013;2021;0;143
120017;2012;0;106
120017;2013;0;133
120017;2014;0;119
120017;2015;0;127
120017;2016;2;140
120017;2017;1;180
120017;2018;2;153
120017;2019;5;182
120017;2020;0;140
120017;2021;0;109
120020;2012;6;636
120020;2013;10;633
120020;2014;5;614
120020;2015;6;637
120020;2016;14;606
120020;2017;7;652
120020;2018;4;648
120020;2019;12;652
