"ano","codmunres","locnasc_incompletos","locnasc_totais","tpnascassi_incompletos","tpnascassi_totais"
2013,"172065",0,42,0,42
2013,"172080",0,77,1,77
2013,"172085",0,9,0,9
2013,"172090",0,123,0,123
2013,"172093",0,14,0,14
2013,"172097",0,7,0,7
2013,"172100",0,2001,0,2001
2013,"172110",0,153,3,153
2013,"172120",0,298,0,298
2013,"172125",0,2,0,2
2013,"172130",0,7,0,7
2013,"172208",0,70,0,70
2013,"172210",0,86,0,86
2013,"210000",0,1,0,1
2013,"210005",0,987,1,987
2013,"210010",0,75,8,75
2013,"210015",0,108,10,108
2013,"210020",0,166,2,166
2013,"210030",0,350,2,350
2013,"210040",0,39,5,39
2013,"210043",0,268,0,268
2013,"210047",0,331,0,331
2013,"210050",0,145,11,145
2013,"210055",0,78,3,78
2013,"210060",0,539,0,539
2013,"210070",0,189,3,189
2013,"210080",0,175,0,175
2013,"210083",0,232,53,232
2013,"210087",0,120,3,120
2013,"210090",0,440,5,440
2013,"210095",0,554,185,554
2013,"210100",0,268,1,268
2013,"210110",0,122,5,122
2013,"210120",0,857,2,857
2013,"210125",0,142,2,142
2013,"210130",0,194,48,194
2013,"210135",0,33,2,33
2013,"210140",0,965,0,965
2013,"210150",0,104,0,104
2013,"210160",0,878,0,878
2013,"210170",0,874,0,874
2013,"210173",0,174,8,174
2013,"210177",0,106,0,106
2013,"210180",0,21,0,21
2013,"210190",0,183,8,183
2013,"210193",0,29,1,29
2013,"210197",0,105,0,105
2013,"210200",0,319,2,319
2013,"210203",0,373,3,373
2013,"210207",0,90,1,90
2013,"210210",0,327,6,327
2013,"210215",0,84,3,84
2013,"210220",0,424,6,424
2013,"210230",0,143,0,143
2013,"210232",0,843,8,843
2013,"210235",0,98,0,98
2013,"210237",0,127,15,127
2013,"210240",0,104,4,104
2013,"210250",0,243,11,243
2013,"210255",0,106,1,106
2013,"210260",0,242,4,242
2013,"210270",0,168,0,168
2013,"210275",0,95,1,95
2013,"210280",0,190,0,190
2013,"210290",0,302,27,302
2013,"210300",0,1380,2,1380
2013,"210310",0,87,7,87
2013,"210312",0,101,25,101
2013,"210315",0,148,2,148
2013,"210317",0,216,0,216
2013,"210320",0,1024,14,1024
2013,"210325",0,116,2,116
2013,"210330",0,1404,1,1404
2013,"210340",0,581,39,581
2013,"210350",0,293,0,293
2013,"210355",0,189,0,189
2013,"210360",0,720,4,720
2013,"210370",0,376,177,376
2013,"210375",0,139,0,139
2013,"210380",0,167,14,167
2013,"210390",0,152,36,152
2013,"210400",0,154,0,154
2013,"210405",0,257,0,257
2013,"210407",0,53,1,53
2013,"210408",0,122,1,122
2013,"210409",0,181,2,181
2013,"210410",0,94,0,94
2013,"210420",0,209,0,209
2013,"210430",0,102,4,102
2013,"210440",0,195,1,195
2013,"210450",0,73,0,73
2013,"210455",0,161,1,161
2013,"210460",0,154,1,154
2013,"210462",0,45,1,45
2013,"210465",0,117,0,117
2013,"210467",0,335,4,335
2013,"210470",0,64,21,64
2013,"210480",0,1073,2,1073
2013,"210490",0,93,10,93
2013,"210500",0,390,1,390
2013,"210510",0,321,8,321
2013,"210515",0,193,0,193
2013,"210520",0,75,2,75
2013,"210530",0,2024,1,2024
2013,"210535",0,177,0,177
2013,"210540",0,750,8,750
2013,"210542",0,196,0,196
