"codmunres","ano","faixa_de_peso","evitaveis_neonatal_outros","evitaveis_neonatal_recem_nascido","evitaveis_neonatal_mulher_gestacao","evitaveis_neonatal_parto","evitaveis_neonatal_tratamento","evitaveis_neonatal_saude","evitaveis_neonatal_mal_definidas","evitaveis_neonatal_imunoprevencao","obitos_neonatais_totais"
"130180",2023,"outros",0,2,0,1,0,0,0,0,3
"130185",2022,"> 1500 g",2,0,0,0,0,0,1,0,3
"130185",2022,"outros",0,0,2,0,0,0,0,0,2
"130185",2022,"> 1000 g",1,0,0,0,0,0,0,0,1
"130185",2023,"> 1500 g",3,0,1,2,0,0,0,0,6
"130185",2023,"outros",0,0,1,0,0,0,0,0,1
"130190",2022,"> 1500 g",4,2,1,0,0,0,2,0,9
"130190",2022,"> 1000 g",0,0,1,0,0,0,0,0,1
"130190",2022,"outros",1,1,5,0,0,0,0,0,7
"130190",2023,"> 1500 g",8,1,0,3,0,0,1,0,13
"130190",2023,"outros",1,1,3,0,0,0,0,0,5
"130190",2023,"> 1000 g",1,2,0,0,0,0,0,0,3
"130195",2022,"> 1500 g",1,0,1,0,0,0,2,0,4
"130195",2023,"> 1500 g",1,0,0,1,0,0,0,0,2
"130195",2023,"> 1000 g",0,1,0,0,0,0,0,0,1
"130200",2022,"> 1500 g",0,0,1,0,0,0,0,0,1
"130200",2023,"não se aplica",0,0,0,0,0,0,0,0,0
"130210",2022,"> 1500 g",1,0,1,0,0,0,0,0,2
"130210",2022,"> 1000 g",0,0,0,1,0,0,0,0,1
"130210",2023,"outros",0,1,0,0,0,0,0,0,1
"130220",2022,"> 1500 g",1,0,0,0,0,0,0,0,1
"130220",2023,"> 1000 g",0,0,2,0,0,0,0,0,2
"130220",2023,"outros",0,2,2,0,0,0,0,0,4
"130220",2023,"> 1500 g",1,0,0,0,0,0,0,0,1
"130230",2022,"outros",1,0,1,0,0,0,0,0,2
"130230",2022,"> 1500 g",2,0,0,1,0,0,0,0,3
"130230",2023,"> 1000 g",0,0,1,0,0,0,0,0,1
"130230",2023,"outros",0,0,1,0,0,0,0,0,1
"130230",2023,"> 1500 g",1,1,0,1,0,0,0,0,3
"130240",2022,"> 1500 g",1,4,0,1,0,0,1,0,7
"130240",2022,"outros",0,1,0,0,0,0,1,0,2
"130240",2023,"outros",1,0,5,0,0,0,0,0,6
"130240",2023,"> 1500 g",0,1,0,1,0,0,0,0,2
"130250",2022,"> 1000 g",2,2,1,0,0,0,0,0,5
"130250",2022,"outros",1,1,1,1,1,0,0,0,5
"130250",2022,"> 1500 g",3,2,0,0,1,0,0,0,6
"130250",2023,"> 1000 g",0,0,2,0,0,0,0,0,2
"130250",2023,"outros",0,1,1,0,0,0,0,0,2
"130250",2023,"> 1500 g",3,3,0,0,0,0,0,0,6
"130255",2022,"> 1500 g",1,0,0,0,0,0,0,0,1
"130255",2023,"> 1500 g",1,0,0,1,0,0,0,0,2
"130260",2022,"> 1000 g",10,8,22,3,0,0,0,0,43
"130260",2022,"> 1500 g",36,12,20,21,0,2,0,0,91
"130260",2022,"outros",5,33,94,5,0,0,0,0,137
"130260",2023,"> 1500 g",53,23,20,11,1,3,3,0,114
"130260",2023,"outros",11,31,89,8,0,0,2,0,141
"130260",2023,"> 1000 g",6,10,16,2,0,0,0,0,34
"130270",2022,"> 1500 g",0,1,1,2,1,1,2,0,8
"130270",2022,"outros",0,0,1,1,0,0,0,0,2
"130270",2022,"> 1000 g",0,0,0,1,0,0,0,0,1
"130270",2023,"outros",0,0,1,0,0,0,1,0,2
"130270",2023,"> 1000 g",1,0,0,0,0,0,0,0,1
"130270",2023,"> 1500 g",0,0,0,4,0,0,0,0,4
"130280",2022,"> 1500 g",0,0,1,1,0,0,0,0,2
"130280",2023,"> 1500 g",3,1,1,0,0,0,1,0,6
"130280",2023,"outros",0,0,1,1,0,0,0,0,2
"130290",2022,"> 1500 g",1,3,3,1,0,0,2,0,10
"130290",2022,"> 1000 g",0,0,1,1,0,0,0,0,2
"130290",2022,"outros",1,0,2,0,0,0,0,0,3
"130290",2023,"> 1500 g",1,3,2,3,0,0,1,0,10
"130290",2023,"outros",1,1,1,1,0,0,0,0,4
"130290",2023,"> 1000 g",2,0,0,1,0,0,0,0,3
"130300",2022,"> 1500 g",1,2,0,0,0,0,1,0,4
"130300",2022,"outros",0,0,1,0,0,0,1,0,2
