"codmunres","municipio","uf","regiao","ano","obitos_fetais_mais_28sem","peso_menos_1500_mais_28sem","peso_1500_1999_mais_28sem","peso_2000_2499_mais_28sem","peso_mais_2500_mais_28sem"
"110150","Seringueiras","RO","Norte","2020",2,0,0,0,2
"110150","Seringueiras","RO","Norte","2021",1,0,1,0,0
"110155","Teixeirópolis","RO","Norte","2012",1,0,0,0,1
"110160","Theobroma","RO","Norte","2013",2,0,0,1,1
"110160","Theobroma","RO","Norte","2014",2,0,0,0,0
"110160","Theobroma","RO","Norte","2015",3,0,0,1,2
"110160","Theobroma","RO","Norte","2016",2,1,1,0,0
"110160","Theobroma","RO","Norte","2017",1,1,0,0,0
"110160","Theobroma","RO","Norte","2018",3,0,0,0,3
"110160","Theobroma","RO","Norte","2019",3,1,0,0,2
"110160","Theobroma","RO","Norte","2020",3,0,2,1,0
"110170","Urupá","RO","Norte","2012",1,0,0,0,1
"110170","Urupá","RO","Norte","2013",1,0,0,0,1
"110170","Urupá","RO","Norte","2014",1,0,0,0,1
"110170","Urupá","RO","Norte","2015",3,0,2,0,1
"110170","Urupá","RO","Norte","2017",1,0,0,0,1
"110170","Urupá","RO","Norte","2019",4,0,0,2,2
"110170","Urupá","RO","Norte","2021",1,0,0,0,1
"110175","Vale do Anari","RO","Norte","2013",3,0,0,0,3
"110175","Vale do Anari","RO","Norte","2014",1,0,1,0,0
"110175","Vale do Anari","RO","Norte","2017",1,0,0,0,1
"110175","Vale do Anari","RO","Norte","2018",1,0,0,1,0
"110175","Vale do Anari","RO","Norte","2019",2,0,0,1,1
"110175","Vale do Anari","RO","Norte","2021",1,0,1,0,0
"110180","Vale do Paraíso","RO","Norte","2012",3,0,1,0,2
"110180","Vale do Paraíso","RO","Norte","2013",2,1,0,0,1
"110180","Vale do Paraíso","RO","Norte","2016",1,0,0,0,1
"110180","Vale do Paraíso","RO","Norte","2017",1,0,0,0,1
"110180","Vale do Paraíso","RO","Norte","2019",1,0,0,0,1
"110180","Vale do Paraíso","RO","Norte","2020",1,0,0,1,0
"120001","Acrelândia","AC","Norte","2012",6,0,0,0,0
"120001","Acrelândia","AC","Norte","2013",1,0,0,0,0
"120001","Acrelândia","AC","Norte","2014",4,0,1,0,3
"120001","Acrelândia","AC","Norte","2018",2,1,0,0,1
"120001","Acrelândia","AC","Norte","2019",3,0,0,1,2
"120005","Assis Brasil","AC","Norte","2012",1,0,0,0,1
"120005","Assis Brasil","AC","Norte","2013",3,0,1,0,2
"120005","Assis Brasil","AC","Norte","2014",3,0,0,1,2
"120005","Assis Brasil","AC","Norte","2015",3,0,0,0,0
"120005","Assis Brasil","AC","Norte","2016",4,1,1,0,2
"120005","Assis Brasil","AC","Norte","2017",1,0,0,0,1
"120005","Assis Brasil","AC","Norte","2018",4,0,0,0,4
"120005","Assis Brasil","AC","Norte","2019",6,0,0,0,6
"120005","Assis Brasil","AC","Norte","2020",3,0,0,1,2
"120005","Assis Brasil","AC","Norte","2021",1,0,0,0,1
"120010","Brasiléia","AC","Norte","2012",8,2,0,1,5
"120010","Brasiléia","AC","Norte","2013",6,2,1,0,3
"120010","Brasiléia","AC","Norte","2014",9,0,0,0,0
"120010","Brasiléia","AC","Norte","2015",7,0,0,0,0
"120010","Brasiléia","AC","Norte","2016",5,0,0,0,0
"120010","Brasiléia","AC","Norte","2017",3,1,0,1,1
"120010","Brasiléia","AC","Norte","2018",6,0,1,2,3
"120010","Brasiléia","AC","Norte","2019",10,0,1,4,5
"120010","Brasiléia","AC","Norte","2020",4,0,2,0,2
"120010","Brasiléia","AC","Norte","2021",7,1,0,1,5
"120013","Bujari","AC","Norte","2012",2,0,0,0,2
"120013","Bujari","AC","Norte","2013",1,0,0,0,1
