"codmunres","ano","garbage_materno_o95","garbage_materno_o94","garbage_materno_f53","garbage_materno_d39","garbage_materno_o08","obitos_maternos_totais","garbage_fetal_p90_p96","garbage_fetal_q80_q89","garbage_fetal_q90_q99","garbage_fetal_q35_q37","garbage_fetal_q10_q18","obitos_fetais_totais"
"110032",2017,0,0,0,0,0,0,2,0,0,0,0,3
"110032",2018,0,0,0,0,0,0,1,0,0,0,0,2
"110032",2019,0,0,0,0,0,0,1,0,0,0,0,1
"110032",2020,0,0,0,0,0,0,0,0,0,0,0,0
"110032",2021,0,0,0,0,0,0,3,0,0,0,0,3
"110032",2022,0,0,0,0,0,0,4,0,0,0,0,4
"110033",2012,0,0,0,0,0,1,0,0,0,0,0,2
"110033",2013,0,0,0,0,0,0,1,0,0,0,0,2
"110033",2014,0,0,0,0,0,0,2,0,0,0,0,2
"110033",2015,0,0,0,0,0,0,2,0,0,0,0,3
"110033",2016,0,0,0,0,0,0,1,0,0,0,0,3
"110033",2017,0,0,0,0,0,0,2,0,0,0,0,5
"110033",2018,0,0,0,0,0,0,0,0,0,0,0,4
"110033",2019,0,0,0,0,0,0,1,0,0,0,0,6
"110033",2020,0,0,0,0,0,1,3,1,0,0,0,5
"110033",2021,0,0,0,0,0,1,0,0,0,0,0,4
"110033",2022,0,0,0,0,0,0,0,0,0,0,0,3
"110034",2012,0,0,0,0,0,0,0,0,0,0,0,0
"110034",2013,0,0,0,0,0,0,0,0,0,0,0,0
"110034",2014,0,0,0,0,0,0,0,0,0,0,0,0
"110034",2015,0,0,0,0,0,1,0,0,0,0,0,0
"110034",2016,0,0,0,0,0,0,4,0,0,0,0,5
"110034",2017,0,0,0,0,0,0,0,1,0,0,0,2
"110034",2018,0,0,0,0,0,1,0,0,0,0,0,2
"110034",2019,0,0,0,0,0,0,1,0,0,0,0,3
"110034",2020,0,0,0,0,0,0,2,0,0,0,0,4
"110034",2021,0,0,0,0,0,1,0,0,0,0,0,0
"110034",2022,0,0,0,0,0,0,0,0,0,0,0,1
"110037",2012,0,0,0,0,0,0,0,0,0,0,0,0
"110037",2013,0,0,0,0,0,0,0,0,0,0,0,0
"110037",2014,0,0,0,0,0,0,0,0,0,0,0,0
"110037",2015,0,0,0,0,0,0,1,0,0,0,0,1
"110037",2016,0,0,0,0,0,0,1,0,0,0,0,3
"110037",2017,0,0,0,0,0,1,0,0,0,0,0,1
"110037",2018,0,0,0,0,0,0,0,0,0,0,0,0
"110037",2019,0,0,0,0,0,0,1,0,0,0,0,2
"110037",2020,0,0,0,0,0,0,0,0,0,0,0,0
"110037",2021,0,0,0,0,0,0,1,0,0,0,0,2
"110037",2022,0,0,0,0,0,0,0,0,0,0,0,0
"110040",2012,0,0,0,0,0,0,0,0,0,0,0,1
"110040",2013,0,0,0,0,0,1,1,0,0,0,0,2
"110040",2014,0,0,0,0,0,0,4,0,0,0,0,8
"110040",2015,0,0,0,0,0,0,1,0,0,0,0,1
"110040",2016,0,0,0,0,0,0,0,0,0,0,0,2
"110040",2017,0,0,0,0,0,0,2,1,0,0,0,4
"110040",2018,0,0,0,0,0,0,0,0,0,0,0,0
"110040",2019,0,0,0,0,0,0,1,0,0,0,0,3
"110040",2020,0,0,0,0,0,0,0,0,0,0,0,1
"110040",2021,0,0,0,0,0,0,1,0,0,0,0,1
"110040",2022,0,0,0,0,0,0,0,0,0,0,0,1
"110045",2012,0,0,0,0,0,0,0,1,0,0,0,7
"110045",2013,0,0,0,0,0,0,1,0,0,0,0,10
"110045",2014,0,0,0,0,0,1,2,0,0,0,0,5
"110045",2015,0,0,0,0,0,0,1,0,0,0,0,4
"110045",2016,0,0,0,0,0,0,2,0,0,0,0,5
"110045",2017,0,0,0,0,0,0,0,0,0,0,0,2
"110045",2018,0,0,0,0,0,1,1,0,0,0,0,3
"110045",2019,0,0,0,0,0,0,1,0,0,0,0,4
"110045",2020,0,0,0,0,0,0,1,0,0,0,0,2
"110045",2021,0,0,0,0,0,0,1,0,0,0,0,5
"110045",2022,0,0,0,0,0,0,1,0,0,0,0,5
"110050",2012,0,0,0,0,0,0,0,0,0,0,0,0
"110050",2013,0,0,0,0,0,0,1,0,0,0,0,2
"110050",2014,0,0,0,0,0,0,0,0,0,0,0,0
"110050",2015,0,0,0,0,0,0,0,0,0,0,0,1
"110050",2016,0,0,0,0,0,0,0,0,0,0,0,1
"110050",2017,0,0,0,0,0,0,0,0,0,0,0,1
"110050",2018,0,0,0,0,0,0,0,0,0,0,0,0
"110050",2019,0,0,0,0,0,0,0,0,0,0,0,0
"110050",2020,0,0,0,0,0,0,1,0,0,0,0,1
"110050",2021,0,0,0,0,0,0,0,0,0,0,0,1
"110050",2022,0,0,0,0,0,0,0,0,0,0,0,0
"110060",2012,0,0,0,0,0,0,0,0,0,0,0,0
"110060",2013,0,0,0,0,0,0,0,0,0,0,0,0
"110060",2014,0,0,0,0,0,0,1,0,0,0,0,1
"110060",2015,0,0,0,0,0,0,1,0,0,0,0,1
"110060",2016,0,0,0,0,0,0,0,0,0,0,0,0
"110060",2017,0,0,0,0,0,0,0,0,0,0,0,0
"110060",2018,0,0,0,0,0,0,1,0,0,0,0,1
"110060",2019,0,0,0,0,0,0,0,0,0,0,0,0
"110060",2020,0,0,0,0,0,0,0,0,0,0,0,0
"110060",2021,0,0,0,0,0,0,0,0,0,0,0,0
"110060",2022,0,0,0,0,0,0,0,0,0,0,0,0
"110070",2012,0,0,0,0,0,0,0,0,0,0,0,0
"110070",2013,0,0,0,0,0,0,0,0,0,0,0,5
"110070",2014,0,0,0,0,0,0,0,0,0,0,0,0
"110070",2015,0,0,0,0,0,0,0,0,0,0,0,1
"110070",2016,0,0,0,0,0,0,0,0,0,0,0,1
"110070",2017,0,0,0,0,0,1,0,0,0,0,0,1
"110070",2018,0,0,0,0,0,0,0,0,0,0,0,1
"110070",2019,0,0,0,0,0,0,2,0,0,0,0,4
"110070",2020,0,0,0,0,0,0,0,0,0,0,0,1
"110070",2021,0,0,0,0,0,0,0,0,0,0,0,1
"110070",2022,0,0,0,0,0,0,0,0,0,0,0,0
"110080",2012,0,0,0,0,0,1,1,0,0,0,0,3
"110080",2013,0,0,0,0,0,0,3,0,0,0,0,5
"110080",2014,0,0,0,0,0,0,2,0,0,0,0,5
"110080",2015,0,0,0,0,0,0,5,0,0,0,0,8
"110080",2016,0,0,0,0,0,0,1,0,0,0,0,1
"110080",2017,0,0,0,0,0,0,2,0,0,0,0,5
"110080",2018,0,0,0,0,0,0,1,0,0,0,0,1
"110080",2019,0,0,0,0,0,1,1,0,0,0,0,5
"110080",2020,0,0,0,0,0,0,4,0,0,0,0,5
"110080",2021,0,0,0,0,0,2,2,0,0,0,0,3
"110080",2022,0,0,0,0,0,0,3,0,0,0,0,3
"110090",2012,0,0,0,0,0,0,1,0,0,0,0,1
"110090",2013,0,0,0,0,0,0,0,0,0,0,0,0
"110090",2014,0,0,0,0,0,0,0,0,0,0,0,1
"110090",2015,0,0,0,0,0,0,0,0,0,0,0,0
"110090",2016,0,0,0,0,0,0,1,0,0,0,0,1
"110090",2017,0,0,0,0,0,0,1,0,0,0,0,1
"110090",2018,0,0,0,0,0,0,0,0,0,0,0,0
"110090",2019,0,0,0,0,0,0,0,0,0,0,0,0
"110090",2020,0,0,0,0,0,0,0,0,0,0,0,0
"110090",2021,0,0,0,0,0,0,0,0,0,0,0,0
"110090",2022,0,0,0,0,0,0,0,0,0,0,0,0
"110092",2012,0,0,0,0,0,0,0,0,0,0,0,0
"110092",2013,0,0,0,0,0,1,0,0,0,0,0,0
"110092",2014,0,0,0,0,0,0,1,0,0,0,0,1
"110092",2015,0,0,0,0,0,0,0,1,0,0,0,1
"110092",2016,0,0,0,0,0,0,2,0,0,0,0,3
"110092",2017,0,0,0,0,0,1,2,0,0,0,0,3
"110092",2018,0,0,0,0,0,0,3,0,0,0,0,4
"110092",2019,0,0,0,0,0,0,2,0,0,0,0,3
"110092",2020,0,0,0,0,0,0,2,0,0,0,0,3
"110092",2021,0,0,0,0,0,1,1,0,0,0,0,2
"110092",2022,0,0,0,0,0,0,2,0,0,0,0,3
"110094",2012,0,0,0,0,0,0,0,0,0,0,0,2
"110094",2013,0,0,0,0,0,0,4,0,0,0,0,5
"110094",2014,0,0,0,0,0,1,2,0,0,0,0,3
"110094",2015,0,0,0,0,0,0,2,0,0,0,0,5
"110094",2016,0,0,0,0,0,0,5,0,0,0,0,6
"110094",2017,0,0,0,0,0,1,0,1,0,0,0,8
"110094",2018,0,0,0,0,0,0,0,0,0,0,0,0
"110094",2019,0,0,0,0,0,0,2,0,0,0,0,2
"110094",2020,0,0,0,0,0,0,0,0,0,0,0,1
"110094",2021,0,0,0,0,0,1,0,1,0,0,0,3
"110094",2022,0,0,0,0,0,0,0,0,0,0,0,4
"110100",2012,0,0,0,0,0,0,0,0,0,0,0,0
"110100",2013,0,0,0,0,0,0,0,0,0,0,0,0
"110100",2014,0,0,0,0,0,0,1,0,0,0,0,2
"110100",2015,0,0,0,0,0,0,1,0,0,0,0,2
"110100",2016,0,0,0,0,0,0,2,0,0,0,0,2
"110100",2017,0,0,0,0,0,0,0,0,0,0,0,0
"110100",2018,0,0,0,0,0,0,0,0,0,0,0,0
"110100",2019,0,0,0,0,0,0,1,0,0,0,0,1
"110100",2020,0,0,0,0,0,0,0,0,0,0,0,0
"110100",2021,0,0,0,0,0,0,1,0,0,0,0,1
"110100",2022,0,0,0,0,0,0,0,0,0,0,0,0
"110110",2012,0,0,0,0,0,0,0,0,0,0,0,1
"110110",2013,0,0,0,0,0,2,3,0,0,0,0,4
"110110",2014,0,0,0,0,0,0,0,0,0,0,0,2
"110110",2015,0,0,0,0,0,0,0,0,0,0,0,0
"110110",2016,0,0,0,0,0,0,0,0,0,0,0,0
"110110",2017,0,0,0,0,0,0,2,0,0,0,0,2
"110110",2018,0,0,0,0,0,0,0,0,0,0,0,0
"110110",2019,0,0,0,0,0,0,1,0,0,0,0,1
"110110",2020,0,0,0,0,0,0,1,0,0,0,0,1
"110110",2021,0,0,0,0,0,0,2,0,0,0,0,3
"110110",2022,0,0,0,0,0,0,0,0,0,0,0,0
"110120",2012,0,0,0,0,0,0,0,0,0,0,0,1
"110120",2013,0,0,0,0,0,0,0,0,0,0,0,0
"110120",2014,0,0,0,0,0,0,0,0,0,0,0,1
"110120",2015,0,0,0,0,0,0,0,0,0,0,0,1
"110120",2016,0,0,0,0,0,0,0,0,0,0,0,1
