"codmunres","ano","obitos_fetais_mais_22sem","fetal_peso_menos_1000","fetal_peso_1000_1499","fetal_peso_1500_2499","fetal_peso_mais_2500","fetal_antes","fetal_durante","fetal_depois","fetal_antes_peso_menos_1000","fetal_antes_peso_1000_1499","fetal_antes_peso_1500_2499","fetal_antes_peso_mais_2500","fetal_durante_peso_menos_1000","fetal_durante_peso_1000_1499","fetal_durante_peso_1500_2499","fetal_durante_peso_mais_2500","fetal_depois_peso_menos_1000","fetal_depois_peso_1000_1499","fetal_depois_peso_1500_2499","fetal_depois_peso_mais_2500"
"110040",2015,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"110040",2016,2,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0
"110040",2017,4,3,0,0,1,3,1,0,2,0,0,1,1,0,0,0,0,0,0,0
"110040",2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110040",2019,3,2,0,0,1,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0
"110045",2012,7,2,0,1,4,7,0,0,2,0,1,4,0,0,0,0,0,0,0,0
"110045",2013,10,1,5,0,2,7,0,0,1,5,0,0,0,0,0,0,0,0,0,0
"110045",2014,5,0,1,3,0,3,1,0,0,1,1,0,0,0,1,0,0,0,0,0
"110045",2015,4,0,0,2,1,4,0,0,0,0,2,1,0,0,0,0,0,0,0,0
"110045",2016,5,0,1,0,4,5,0,0,0,1,0,4,0,0,0,0,0,0,0,0
"110045",2017,2,0,0,1,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"110045",2018,3,1,2,0,0,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0
"110045",2019,4,1,1,2,0,4,0,0,1,1,2,0,0,0,0,0,0,0,0,0
"110050",2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110050",2013,2,1,0,0,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"110050",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110050",2015,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"110050",2016,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"110050",2017,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"110050",2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110050",2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110060",2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110060",2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110060",2014,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"110060",2015,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"110060",2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110060",2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110060",2018,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"110060",2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110070",2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110070",2013,5,0,1,2,2,5,0,0,0,1,2,2,0,0,0,0,0,0,0,0
"110070",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110070",2015,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110070",2016,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"110070",2017,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110070",2018,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"110070",2019,4,2,0,2,0,4,0,0,2,0,2,0,0,0,0,0,0,0,0,0
"110080",2012,3,0,2,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"110080",2013,5,3,1,0,1,5,0,0,3,1,0,1,0,0,0,0,0,0,0,0
"110080",2014,5,0,2,2,1,5,0,0,0,2,2,1,0,0,0,0,0,0,0,0
"110080",2015,8,1,0,2,5,8,0,0,1,0,2,5,0,0,0,0,0,0,0,0
"110080",2016,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"110080",2017,5,0,0,2,3,5,0,0,0,0,2,3,0,0,0,0,0,0,0,0
"110080",2018,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"110080",2019,5,2,2,0,1,5,0,0,2,2,0,1,0,0,0,0,0,0,0,0
"110090",2012,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"110090",2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110090",2014,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"110090",2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110090",2016,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"110090",2017,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"110090",2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110090",2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110092",2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110092",2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110092",2014,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110092",2015,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"110092",2016,3,1,0,1,1,3,0,0,1,0,1,1,0,0,0,0,0,0,0,0
"110092",2017,3,2,0,1,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"110092",2018,4,1,1,1,1,4,0,0,1,1,1,1,0,0,0,0,0,0,0,0
"110092",2019,3,1,0,2,0,3,0,0,1,0,2,0,0,0,0,0,0,0,0,0
"110094",2012,2,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
