CODMUNRES,ANO,Obito_Materno_investigado_com_Ficha_Sintese,Obito_Materno_investigado_sem_Ficha_Sintese,TOTAL_OBITOS_MATERNOS
150170,2014,3,0,3
150170,2015,1,0,1
150170,2016,3,0,3
150170,2018,2,0,2
150170,2019,2,0,2
150172,2012,1,0,1
150172,2014,1,0,1
150175,2018,1,0,1
150178,2014,1,0,1
150178,2018,2,0,2
150178,2019,2,0,2
150178,2020,1,0,1
150180,2012,0,0,1
150180,2013,1,1,4
150180,2017,3,0,3
150180,2018,1,0,1
150180,2019,3,0,3
150180,2020,1,0,1
150190,2013,1,0,1
150190,2015,2,0,2
150190,2017,2,0,2
150190,2018,1,0,1
150195,2013,0,1,2
150195,2015,1,0,1
150195,2016,2,0,2
150195,2018,1,0,1
150195,2019,3,0,3
