"ano","cod_uf","local","outra_uf","dentro_macrorregiao_saude","dentro_regiao_saude","fora_macrorregiao_saude","km_partos_fora_macrorregiao","km_partos_na_macrorregiao","km_partos_na_regiao","km_partos_fora_uf","km_partos_fora_macrorregiao_alta_complexidade","km_partos_na_macrorregiao_alta_complexidade","km_partos_na_regiao_alta_complexidade","km_partos_fora_uf_alta_complexidade","km_partos_fora_macrorregiao_baixa_complexidade","km_partos_na_macrorregiao_baixa_complexidade","km_partos_na_regiao_baixa_complexidade","km_partos_fora_uf_baixa_complexidade","nao_local","km_partos_fora_municipio","km_partos_fora_municipio_alta_complexidade","km_partos_fora_municipio_baixa_complexidade","destino_total","uf"
2022,41,87337,916,3848,47574,962,72.892,85.179,33.6064,26.8362,98.01,85.4733,42.0496,48.6355,43.8908,84.5797,23.6549,13.226,53300,37.9847,44.3257,25.4516,140637,"Paraná"
2022,42,56907,1064,2407,35709,2115,57.9364,45.3871,21.2528,44.5417,54.1686,53.883,23.1313,44.5417,70.8028,28.1687,21.1575,33.5961,41295,25.2267,26.3402,21.3298,98202,"Santa Catarina"
2022,43,79948,179,10357,28213,2245,90.9086,38.39,25.5552,98.0452,108.964,36.9379,27.1515,106.5541,41.9197,47.7478,22.8605,62.6069,40994,30.422,31.0557,27.395,120942,"Rio Grande do Sul"
2022,50,33928,414,0,5728,415,291.0565,0,73.8508,132.8518,332.6854,0,78.3812,132.8518,230.4662,0,73.8508,131.1199,6557,88.9061,90.542,75.1694,40485,"Mato Grosso do Sul"
2022,51,41984,476,2034,12386,1289,239.0366,165.1659,68.2287,521.9796,258.1802,204.8523,65.1743,600.9514,202.1179,156.9436,70.2808,407.823,16185,90.3038,91.7831,88.88,58169,"Mato Grosso"
2022,52,51938,13196,2547,10724,11340,21.2427,108.9162,36.8231,47.5387,51.3334,130.916,42.5194,45.5177,18.5967,102.2075,34.6187,77.9702,37807,45.5177,47.5387,32.9455,89745,"Goiás"
2022,53,35462,466,0,0,0,0,0,0,59.4445,0,0,0,57.4255,0,0,0,77.9702,466,59.4445,57.4255,77.9702,35928,"Distrito Federal"
2021,55,1798413,38574,149805,593977,96332,61.7594,68.2646,30.422,59.4445,58.92,69.5673,28.8067,57.4255,65.6316,68.2323,32.4465,74.4073,878688,37.0771,36.809,37.8449,2677101,"Brasil"
2022,55,1707544,37123,145622,574778,96855,61.9987,68.2646,30.5046,57.8661,61.9987,68.1559,29.6178,56.8201,65.6316,68.507,31.8117,74.4073,854378,37.1569,36.9235,38.1959,2561922,"Brasil"
2023,55,1673247,37240,145070,577579,98917,64.8821,70.1098,31.0473,59.4445,64.8821,70.1555,30.422,57.4255,64.417,69.8939,31.8515,77.9702,858806,37.9591,37.8336,38.1959,2532053,"Brasil"
