CODMUNRES,ANO,subregistro_SINASC,subregistro_SIM
130190,2019,1.7752,7.5212
130195,2015,7.8747,28.5568
130195,2016,3.3636,27.0079
130195,2017,5.1212,12.4042
130195,2018,1.2534,14.8992
130195,2019,1.4163,4.6718
130200,2015,2.5831,3.3844
130200,2016,2.8855,7.1411
130200,2017,1.9942,0.1893
130200,2018,1.956,0.1842
130200,2019,2.3152,2.2148
130210,2015,7.2052,2.1272
130210,2016,6.3093,1.1674
130210,2017,5.1374,6.8576
130210,2018,6.036,12.2212
130210,2019,8.8851,0.5597
130220,2015,12.2024,15.362
130220,2016,10.2245,5.9526
130220,2017,2.7463,0.4773
130220,2018,1.6747,0.6022
130220,2019,2.2457,0.5997
130230,2015,5.5257,3.1665
130230,2016,3.0365,5.8783
130230,2017,3.26,5.0848
130230,2018,4.7313,4.1165
130230,2019,2.1197,1.9441
130240,2015,9.2908,5.4244
130240,2016,11.6515,5.3066
130240,2017,9.6928,5.8842
130240,2018,5.9137,8.2434
130240,2019,2.9289,3.7491
130250,2015,3.8013,4.503
130250,2016,1.7426,7.6285
130250,2017,1.6748,1.6064
130250,2018,1.7128,1.806
130250,2019,1.2824,4.5284
130255,2015,29.432,31.382
130255,2016,1.9692,2.7718
130255,2017,2.6791,6.561
130255,2018,5.7534,24.9745
130255,2019,3.1793,4.4603
130260,2015,0.8005,1.2789
130260,2016,0.5553,0.8238
130260,2017,0.2881,0.4908
130260,2018,0.212,0.5963
130260,2019,0.1781,0.6612
130270,2015,4.0366,11.9066
130270,2016,4.2604,6.6263
130270,2017,4.2884,2.3875
130270,2018,2.5792,6.9672
130270,2019,2.7457,3.8978
130280,2015,6.388,5.3771
130280,2016,2.9549,5.71
130280,2017,8.7637,7.1793
130280,2018,1.2791,3.0084
130280,2019,1.8865,3.4955
130290,2015,7.025,4.1661
130290,2016,4.8429,2.5641
130290,2017,3.1468,4.0853
130290,2018,6.7404,3.4074
130290,2019,7.9583,3.3792
130300,2015,5.1216,6.8693
130300,2016,3.3384,11.8266
130300,2017,3.4781,7.5275
130300,2018,3.1339,2.2897
130300,2019,3.7729,6.794
130310,2015,6.6715,33.1501
130310,2016,2.1739,21.845
130310,2017,2.745,0.5981
130310,2018,2.2228,4.6622
130310,2019,2.6588,3.3704
130320,2015,2.5312,3.4836
130320,2016,4.2142,8.7385
130320,2017,4.7631,3.637
130320,2018,8.6395,7.0558
130320,2019,1.4384,4.3837
130330,2015,3.2399,7.6045
130330,2016,4.1543,7.3743
130330,2017,3.6927,4.5964
130330,2018,2.9065,2.7083
130330,2019,1.2941,2.7462
130340,2015,3.9299,3.835
130340,2016,2.709,1.9736
130340,2017,3.0107,2.4133
130340,2018,2.2678,2.7273
130340,2019,2.1297,1.7036
130350,2015,21.2741,22.2558
130350,2016,12.8521,17.0886
130350,2017,2.6196,0.4923
130350,2018,8.3699,2.0763
130350,2019,5.8943,3.4578
130353,2015,1.1412,2.2453
130353,2016,2.8797,3.1177
130353,2017,1.5146,2.9371
130353,2018,1.8075,3.9882
130353,2019,2.462,4.7142
130356,2015,19.106,28.7124
130356,2016,9.9169,7.8094
130356,2017,2.2911,3.6433
130356,2018,0.4227,6.3605
130356,2019,1.4677,1.5947
130360,2015,10.6791,6.0591
130360,2016,6.0089,4.787
130360,2017,4.9707,2.2747
130360,2018,4.8945,2.1398
130360,2019,6.8983,2.663
130370,2015,8.2721,18.5104
130370,2016,6.1449,11.2639
130370,2017,2.5854,5.3884
130370,2018,2.7783,3.5119
130370,2019,2.9038,1.6321
130380,2015,10.5723,8.4966
130380,2016,4.0642,4.7469
130380,2017,5.1972,2.8056
130380,2018,3.7276,4.155
130380,2019,2.4135,1.7064
130390,2015,27.5612,16.002
130390,2016,11.8457,12.1259
130390,2017,3.7855,16.0285
130390,2018,6.8616,5.7045
130390,2019,6.7486,3.375
130395,2015,5.0756,19.2177
130395,2016,3.8088,14.7201
130395,2017,2.6618,14.7422
130395,2018,1.3065,0.4833
130395,2019,1.7467,4.0312
130400,2015,1.7603,5.0902
130400,2016,3.2018,0.8662
130400,2017,0.7322,0.4482
130400,2018,1.2914,0.5003
130400,2019,3.2383,2.8934
130406,2015,10.8928,9.369
130406,2016,4.0363,9.0086
130406,2017,8.2665,11.272
130406,2018,11.058,8.3519
130406,2019,6.0024,4.659
130410,2015,8.4863,10.3289
130410,2016,6.3212,4.552
130410,2017,4.2731,6.532
130410,2018,3.3381,0.675
130410,2019,3.4805,3.8117
130420,2015,10.1866,5.0895
130420,2016,7.6075,4.1396
130420,2017,2.9373,2.9195
130420,2018,1.488,2.6243
130420,2019,1.3039,1.1321
130423,2015,9.7213,20.4143
130423,2016,7.1753,1.7118
130423,2017,3.8985,9.2146
130423,2018,2.2053,4.1622
130423,2019,6.3706,5.8782
130426,2015,39.8419,16.1272
130426,2016,26.1352,7.0437
130426,2017,7.1251,4.0294
130426,2018,6.9946,0.4873
130426,2019,7.7105,0.5124
130430,2015,9.9433,6.1722
130430,2016,7.5709,5.9079
130430,2017,3.0757,2.0895
130430,2018,1.7028,0.4441
130430,2019,0.8032,1.784
130440,2015,4.4399,6.3003
130440,2016,3.9542,7.3644
130440,2017,4.2135,3.55
130440,2018,2.7334,0.4623
130440,2019,4.7131,7.8114
140002,2015,7.602,0.904
140002,2016,8.1593,3.7017
140002,2017,9.9262,2.6762
140002,2018,7.9199,2.8428
140002,2019,7.231,2.5347
140005,2015,10.1088,1.8966
140005,2016,9.204,4.6494
140005,2017,9.8269,2.8439
140005,2018,8.5686,1.3306
140005,2019,8.4406,1.2178
140010,2015,3.3648,2.5934
