"codmunres","ano","garbage_morbidade_neonatal_i_algumas_doencas_infecciosas_e_parasitarias","garbage_morbidade_neonatal_x_doencas_do_aparelho_respiratorio","garbage_morbidade_neonatal_xiv_doencas_do_aparelho_geniturinario","garbage_morbidade_neonatal_xi_doencas_do_aparelho_digestivo","garbage_morbidade_neonatal_xii_doencas_da_pele_e_do_tecido_subcutaneo","garbage_morbidade_neonatal_xix_lesoes_envenenamento_e_algumas_outras_consequencias_de_causas_externas","garbage_morbidade_neonatal_iii_doencas_do_sangue_e_dos_orgaos_hematopoeticos_e_alguns_transtornos_imunitarios","garbage_morbidade_neonatal_vi_doencas_do_sistema_nervoso","garbage_morbidade_neonatal_ix_doencas_do_aparelho_circulatorio","garbage_morbidade_neonatal_xviii_sintomas_sinais_e_achados_anormais_de_exames_clinicos_e_de_laboratorio_nao_classificados_em_outra_parte","garbage_morbidade_neonatal_xvi_algumas_afeccoes_originadas_no_periodo_perinatal","garbage_morbidade_neonatal_vii_doencas_do_olho_e_anexos","garbage_morbidade_neonatal_xiii_doencas_do_sistema_osteomuscular_e_do_tecido_conjuntivo","garbage_morbidade_neonatal_na","garbage_morbidade_neonatal_iv_doencas_endocrinas_nutricionais_e_metabolicas","garbage_morbidade_neonatal_xvii_malformacoes_congenitas_deformidades_e_anomalias_cromossomicas","garbage_morbidade_neonatal_viii_doencas_do_ouvido_e_da_apofise_mastoide","garbage_morbidade_neonatal_xv_gravidez_parto_e_puerperio","garbage_morbidade_neonatal_ii_neoplasias_tumores","garbage_morbidade_neonatal_v_transtornos_mentais_e_comportamentais","internacoes_neonatais_totais"
"150190",2024,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
"150195",2024,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15
"150200",2024,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"150210",2024,2,17,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,152
"150215",2024,3,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,81
"150220",2024,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,30
"150230",2024,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,40
"150240",2024,2,2,0,1,1,0,0,0,1,0,18,0,0,0,0,0,0,0,0,0,288
"150250",2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"150260",2024,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
"150270",2024,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5
"150275",2024,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,41
"150276",2024,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"150277",2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"150280",2024,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,41
"150285",2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"150290",2024,1,2,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,45
"150293",2024,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16
"150295",2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"150300",2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"150304",2024,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
"150307",2024,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
"150309",2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
"150310",2024,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,31
"150320",2024,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,33
"150330",2024,0,1,0,0,0,1,0,0,1,0,5,0,0,0,0,0,0,0,0,0,62
"150340",2024,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,14
"150345",2024,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
"150350",2024,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18
"150360",2024,0,3,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,119
"150370",2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
"150375",2024,0,3,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,21
"150380",2024,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
"150390",2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"150400",2024,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
"150405",2024,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
"150410",2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"150420",2024,3,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,399
"150430",2024,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,28
"150440",2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11
