ano,cod_uf,local,outra_uf,dentro_macrorregiao_saude,dentro_regiao_saude,fora_macrorregiao_saude,km_partos_fora_macrorregiao,km_partos_na_macrorregiao,km_partos_na_regiao,km_partos_fora_uf,km_partos_fora_macrorregiao_alta_complexidade,km_partos_na_macrorregiao_alta_complexidade,km_partos_na_regiao_alta_complexidade,km_partos_fora_uf_alta_complexidade,km_partos_fora_macrorregiao_baixa_complexidade,km_partos_na_macrorregiao_baixa_complexidade,km_partos_na_regiao_baixa_complexidade,km_partos_fora_uf_baixa_complexidade,nao_local,km_partos_fora_municipio,km_partos_fora_municipio_alta_complexidade,km_partos_fora_municipio_baixa_complexidade,destino_total,uf
2022,27,24823,397,5016,14448,1058,62.1859,77.4886,28.0202,40.0071,62.1859,77.4886,29.1076,57.8174,56.2496,77.6507,28.0202,38.0953,20919,36.0689,34.7364,37.1441,45742,Alagoas
2022,28,11168,256,9370,7730,0,0,62.0958,27.3176,47.0894,0,51.5027,20.8793,95.9641,0,68.507,31.4895,30.9014,17356,41.5842,30.5966,50.86,28524,Sergipe
2022,29,116152,4574,10039,36434,6625,135.9732,89.7043,50.1456,84.8575,157.5368,71.0151,50.1456,64.2364,129.4371,100.8179,50.6885,92.7576,57672,61.1665,58.8071,61.6975,173824,Bahia
2022,31,144087,2116,24295,59421,5144,102.6577,41.3045,33.3064,79.1889,97.1807,47.3821,33.3603,68.6631,128.7399,35.5481,33.3064,79.1889,90976,36.1481,36.9213,33.9859,235063,Minas Gerais
2022,32,29639,513,0,18563,3014,125.0036,0,33.2539,40.1017,130.4635,0,37.5453,57.7161,52.2626,0,27.5568,31.5872,22090,37.5453,44.6139,29.8763,51729,Espírito Santo
2022,33,134481,517,3813,38837,2721,81.281,34.2078,20.8512,64.0067,108.6464,36.3278,20.8512,64.0067,45.7365,24.4013,15.3482,428.2558,45888,21.1811,22.8379,20.8512,180369,Rio de Janeiro
2022,35,379709,598,10662,87183,34368,28.684,57.2577,20.5188,218.4582,28.1097,58.8481,19.77,211.2408,28.684,40.1564,22.5902,235.7159,132811,23.151,23.151,23.5153,512520,São Paulo
2022,41,87337,916,3848,47574,962,72.892,85.179,33.6064,26.8362,98.01,85.4733,42.0496,48.6355,43.8908,84.5797,23.6549,13.226,53300,37.9847,44.3257,25.4516,140637,Paraná
2022,42,56907,1064,2407,35709,2115,57.9364,45.3871,21.2528,44.5417,54.1686,53.883,23.1313,44.5417,70.8028,28.1687,21.1575,33.5961,41295,25.2267,26.3402,21.3298,98202,Santa Catarina
2022,43,79948,179,10357,28213,2245,90.9086,38.39,25.5552,98.0452,108.964,36.9379,27.1515,106.5541,41.9197,47.7478,22.8605,62.6069,40994,30.422,31.0557,27.395,120942,Rio Grande do Sul
2022,50,33928,414,0,5728,415,291.0565,0,73.8508,132.8518,332.6854,0,78.3812,132.8518,230.4662,0,73.8508,131.1199,6557,88.9061,90.542,75.1694,40485,Mato Grosso do Sul
2022,51,41984,476,2034,12386,1289,239.0366,165.1659,68.2287,521.9796,258.1802,204.8523,65.1743,600.9514,202.1179,156.9436,70.2808,407.823,16185,90.3038,91.7831,88.88,58169,Mato Grosso
2022,52,51938,13196,2547,10724,11340,21.2427,108.9162,36.8231,47.5387,51.3334,130.916,42.5194,45.5177,18.5967,102.2075,34.6187,77.9702,37807,45.5177,47.5387,32.9455,89745,Goiás
2022,53,35462,466,0,0,0,0,0,0,59.4445,0,0,0,57.4255,0,0,0,77.9702,466,59.4445,57.4255,77.9702,35928,Distrito Federal
