"codmunres";"ano";"anomalia";"grupo_de_anomalias_congenitas";"descricao";"nascidos_vivos_anomalia"
110004;2023;"Q249";"Cardiopatias congênitas";"Outras malformações congênitas do coração";1
110004;2024;"Q669";"Defeitos de membros";"Deformidades congênitas do pé";1
110004;2024;"Q793";"Defeitos da parede abdominal";"Gastrosquise";1
110004;2024;"Q664";"Defeitos de membros";"Deformidades congênitas do pé";1
110004;2024;"Q699";"Defeitos de membros";"Polidactilia";1
110004;2024;"Q699";"Defeitos de membros";"Polidactilia";1
110004;2024;"Q699";"Defeitos de membros";"Polidactilia";1
110004;2024;"Q699";"Defeitos de membros";"Polidactilia";1
110005;2012;"Q664";"Defeitos de membros";"Deformidades congênitas do pé";1
110005;2015;"Q059";"Defeitos de tubo neural";"Espinha bifida";1
110005;2015;"Q000";"Defeitos de tubo neural";"Anencefalia";1
110005;2016;"Q270";"Cardiopatias congênitas";"Outras malformações congênitas do sistema vascular periférico";1
110005;2016;"Q668";"Defeitos de membros";"Deformidades congênitas do pé";1
110005;2016;"Q909";"Síndrome de Down";"Síndrome de Down";1
110005;2017;"Q378";"Fendas orais";"Fenda labial com fenda palatina";1
110005;2019;"Q000";"Defeitos de tubo neural";"Anencefalia";1
110005;2019;"Q909";"Síndrome de Down";"Síndrome de Down";1
110005;2019;"Q660";"Defeitos de membros";"Deformidades congênitas do pé";1
110005;2020;"Q665";"Defeitos de membros";"Deformidades congênitas do pé";1
110005;2021;"Q270";"Cardiopatias congênitas";"Outras malformações congênitas do sistema vascular periférico";1
110005;2023;"Q543";"Defeitos de órgãos genitais";"Hipospadia";1
110005;2024;"Q211";"Cardiopatias congênitas";"Malformações congênitas dos septos cardíacos";1
110006;2012;"Q379";"Fendas orais";"Fenda labial com fenda palatina";1
110006;2012;"Q369";"Fendas orais";"Fenda labial";1
110006;2013;"Q699";"Defeitos de membros";"Polidactilia";1
110006;2014;"Q793";"Defeitos da parede abdominal";"Gastrosquise";1
110006;2014;"Q712";"Defeitos de membros";"Defeitos por redução do membro superior";1
110006;2017;"Q564";"Defeitos de órgãos genitais";"Sexo indeterminado e pseudo-hermafroditismo";1
110006;2017;"Q000";"Defeitos de tubo neural";"Anencefalia";1
110006;2017;"Q664";"Defeitos de membros";"Deformidades congênitas do pé";1
110006;2020;"Q664";"Defeitos de membros";"Deformidades congênitas do pé";1
110006;2022;"Q792";"Defeitos da parede abdominal";"Exonfalia";1
110006;2022;"Q249";"Cardiopatias congênitas";"Outras malformações congênitas do coração";1
110006;2023;"Q549";"Defeitos de órgãos genitais";"Hipospadia";1
110006;2023;"Q699";"Defeitos de membros";"Polidactilia";1
110006;2024;"Q059";"Defeitos de tubo neural";"Espinha bifida";1
110006;2024;"Q059";"Defeitos de tubo neural";"Espinha bifida";1
