"codmunres","ano","faixa_de_peso","evitaveis_neonatal_outros","evitaveis_neonatal_recem_nascido","evitaveis_neonatal_mulher_gestacao","evitaveis_neonatal_parto","evitaveis_neonatal_mal_definidas","evitaveis_neonatal_saude","evitaveis_neonatal_tratamento","evitaveis_neonatal_imunoprevencao","obitos_neonatais_totais"
"110025",2019,"> 1500 g",0,0,0,1,0,0,0,0,1
"110025",2020,"> 1500 g",1,0,1,0,0,0,0,0,2
"110025",2021,"não se aplica",0,0,0,0,0,0,0,0,0
"110025",2022,"não se aplica",0,0,0,0,0,0,0,0,0
"110026",2020,"> 1500 g",0,0,0,1,0,0,0,0,1
"110026",2012,"não se aplica",0,0,0,0,0,0,0,0,0
"110026",2013,"não se aplica",0,0,0,0,0,0,0,0,0
"110026",2014,"não se aplica",0,0,0,0,0,0,0,0,0
"110026",2015,"não se aplica",0,0,0,0,0,0,0,0,0
"110026",2016,"não se aplica",0,0,0,0,0,0,0,0,0
"110026",2017,"não se aplica",0,0,0,0,0,0,0,0,0
"110026",2018,"não se aplica",0,0,0,0,0,0,0,0,0
"110026",2019,"não se aplica",0,0,0,0,0,0,0,0,0
"110026",2021,"não se aplica",0,0,0,0,0,0,0,0,0
"110026",2022,"não se aplica",0,0,0,0,0,0,0,0,0
"110028",2012,"> 1500 g",1,0,1,0,2,0,0,0,4
"110028",2012,"> 1000 g",0,0,1,1,0,0,0,0,2
"110028",2012,"outros",1,0,4,0,0,0,0,0,5
"110028",2013,"outros",0,0,3,0,0,0,0,0,3
"110028",2013,"> 1000 g",1,0,0,0,0,0,0,0,1
"110028",2013,"> 1500 g",1,1,0,0,0,0,0,0,2
"110028",2014,"outros",0,1,1,0,0,0,0,0,2
"110028",2014,"> 1500 g",2,2,0,1,0,0,0,0,5
"110028",2015,"> 1500 g",4,2,0,0,1,0,1,0,8
