"codmunres","ano","obitos_fetais_mais_28sem","peso_menos_1500_mais_28sem","peso_1500_1999_mais_28sem","peso_2000_2499_mais_28sem","peso_mais_2500_mais_28sem"
130030,2018,7,2,2,2,1
130030,2019,7,1,2,0,4
130030,2020,9,1,2,2,4
130040,2012,5,0,0,1,4
130040,2014,2,1,0,0,1
130040,2015,3,1,0,0,2
130040,2016,4,0,1,2,0
130040,2017,6,1,1,0,3
130040,2018,6,1,0,2,2
130040,2019,2,0,1,0,1
130040,2020,2,0,0,2,0
130050,2012,10,1,2,1,6
130050,2013,11,4,1,1,5
130050,2014,5,1,0,0,4
130050,2015,8,2,1,2,3
130050,2016,7,1,1,1,4
130050,2017,17,3,2,4,8
130050,2018,12,1,4,3,4
130050,2019,15,4,1,5,5
130050,2020,8,2,2,2,2
130060,2012,9,2,1,1,5
130060,2013,10,2,1,1,6
130060,2014,10,3,1,1,3
130060,2015,13,2,1,2,4
130060,2016,8,1,0,1,5
130060,2017,10,2,2,2,4
130060,2018,5,2,0,0,3
130060,2019,6,1,2,1,2
130060,2020,11,6,0,2,3
130063,2012,4,2,0,0,2
130063,2013,4,0,1,2,1
130063,2014,3,0,1,0,2
130063,2015,4,0,0,1,3
130063,2016,3,0,1,0,2
130063,2017,5,0,0,1,4
130063,2018,8,0,1,1,6
130063,2019,4,1,0,1,2
130063,2020,9,2,2,1,3
130068,2012,1,0,1,0,0
130068,2014,2,2,0,0,0
130068,2015,2,1,0,0,1
130068,2016,2,0,1,0,1
130068,2017,3,1,1,0,1
130068,2019,5,2,0,1,2
130068,2020,8,2,3,1,2
130070,2012,7,1,1,0,5
130070,2013,7,0,1,3,3
130070,2014,3,0,1,1,0
130070,2015,3,0,0,1,2
130070,2016,5,2,0,0,2
130070,2017,3,1,0,0,2
130070,2018,7,1,2,2,2
130070,2019,7,0,1,2,4
130070,2020,6,2,1,2,1
130080,2012,4,0,1,0,2
130080,2013,6,2,0,2,2
130080,2014,5,3,0,2,0
130080,2015,7,2,1,2,2
130080,2016,5,2,0,0,3
130080,2017,7,2,0,1,4
130080,2018,4,0,0,2,2
130080,2019,6,2,0,0,4
130080,2020,7,2,1,0,4
130083,2013,3,1,1,0,1
130083,2014,3,0,1,0,2
130083,2015,2,0,0,1,1
130083,2016,1,1,0,0,0
130083,2018,3,0,0,1,2
130083,2020,3,0,1,0,2
130090,2012,1,1,0,0,0
130090,2013,3,1,1,1,0
130090,2014,3,0,0,0,3
130090,2015,2,0,0,0,2
130090,2016,7,1,1,1,4
130090,2017,3,0,0,1,2
130090,2018,2,0,1,0,1
130090,2019,3,2,0,0,1
130100,2012,12,2,0,1,8
130100,2013,8,2,0,0,6
130100,2014,9,0,0,0,8
130100,2015,9,1,0,2,6
130100,2016,7,0,2,0,4
130100,2017,11,2,0,3,6
130100,2018,11,1,2,1,7
130100,2019,8,2,0,1,5
130100,2020,7,0,0,3,3
130110,2012,2,0,2,0,0
130110,2013,6,0,2,0,4
130110,2014,3,1,0,0,2
130110,2015,5,0,0,2,3
130110,2016,4,1,1,1,1
130110,2017,7,3,1,0,3
130110,2018,4,0,0,1,3
130110,2019,7,4,0,0,3
130110,2020,4,1,0,0,3
130115,2012,1,0,0,0,1
130115,2013,3,1,1,1,0
130115,2014,2,0,0,0,2
130115,2015,2,0,1,1,0
130115,2016,1,1,0,0,0
130115,2020,2,1,0,0,1
130120,2012,11,3,2,2,4
130120,2013,14,3,1,3,7
130120,2014,18,7,2,1,8
130120,2015,21,5,2,6,8
130120,2016,17,4,3,4,6
130120,2017,19,3,3,4,9
130120,2018,18,7,0,4,7
130120,2019,13,2,4,2,5
130120,2020,15,6,2,1,6
130130,2012,5,0,1,2,2
130130,2014,6,2,1,0,3
130130,2015,4,0,1,0,3
130130,2016,3,2,0,0,1
130130,2017,9,1,2,0,6
130130,2018,4,0,1,1,2
130130,2019,1,0,0,0,1
130130,2020,1,0,0,0,1
130140,2012,10,2,0,2,5
130140,2013,7,0,1,1,4
130140,2014,7,1,0,1,3
130140,2015,11,4,1,0,4
130140,2016,5,2,1,0,1
130140,2017,14,2,2,0,8
130140,2018,14,3,1,4,5
130140,2019,8,1,1,5,1
130140,2020,8,1,1,2,1
130150,2012,3,1,0,0,2
130150,2013,2,0,0,2,0
130150,2014,6,0,0,4,2
130150,2015,6,1,1,1,3
130150,2016,2,1,1,0,0
130150,2017,10,5,2,0,3
130150,2018,3,1,0,1,1
130150,2019,5,0,1,1,3
130150,2020,2,0,0,0,1
130160,2012,5,0,0,0,5
130160,2013,2,0,0,0,2
130160,2014,9,4,1,3,1
130160,2015,4,2,0,1,1
130160,2016,5,1,2,0,2
130160,2017,8,1,0,3,4
130160,2018,2,0,0,0,2
130160,2019,3,0,1,0,2
130160,2020,4,1,1,1,1
130165,2012,1,0,1,0,0
130165,2013,3,1,1,1,0
130165,2015,1,0,0,1,0
130165,2016,2,0,0,1,1
130165,2017,1,1,0,0,0
130165,2018,3,1,0,0,2
130165,2019,2,2,0,0,0
130165,2020,1,0,0,0,1
130170,2012,8,2,0,2,4
130170,2013,9,3,1,0,5
130170,2014,12,4,2,1,5
130170,2015,7,2,3,0,2
130170,2016,5,1,1,1,2
130170,2017,8,1,3,1,3
130170,2018,4,1,0,1,2
130170,2019,6,1,2,2,1
130170,2020,12,2,4,0,6
130180,2012,6,3,0,1,2
130180,2013,3,0,1,0,2
130180,2014,8,2,3,0,2
130180,2015,2,0,1,1,0
130180,2016,1,1,0,0,0
130180,2017,5,1,1,0,2
130180,2018,6,1,0,0,5
130180,2019,6,1,0,0,5
130180,2020,6,0,0,0,6
130185,2012,13,3,3,0,4
130185,2013,7,1,1,1,4
130185,2014,11,2,4,1,4
130185,2015,11,5,2,1,3
130185,2016,9,0,5,1,3
130185,2017,8,0,2,4,1
130185,2018,8,0,0,2,5
130185,2019,10,1,2,0,7
130185,2020,13,4,2,2,5
130190,2012,22,5,2,5,10
130190,2013,19,8,2,1,7
130190,2014,22,2,5,3,11
130190,2015,26,5,3,6,12
130190,2016,27,11,5,2,9
