"","CODMUNRES","ANO","INCOMPLETUDE","TOTAIS","UF"
"7911","312735",2021,0,27,"MG"
"7912","312735",2022,0,27,"MG"
"7913","312735",2023,0,29,"MG"
"7914","312737",2021,0,39,"MG"
"7915","312737",2022,0,45,"MG"
"7916","312737",2023,0,46,"MG"
"7917","312738",2021,0,20,"MG"
"7918","312738",2022,0,31,"MG"
"7919","312738",2023,0,35,"MG"
"7920","312740",2022,0,30,"MG"
"7921","312740",2023,0,42,"MG"
"7922","312780",2022,0,130,"MG"
"7923","312780",2023,0,124,"MG"
"7924","312790",2021,0,16,"MG"
"7925","312790",2022,0,11,"MG"
"7926","312790",2023,0,12,"MG"
"7927","312810",2021,0,116,"MG"
"7928","312820",2021,0,65,"MG"
"7929","312820",2022,0,68,"MG"
"7930","312820",2023,0,69,"MG"
"7931","312825",2022,0,49,"MG"
"7932","312830",2023,0,199,"MG"
"7933","312840",2021,0,78,"MG"
"7934","312840",2022,0,74,"MG"
"7935","312840",2023,0,72,"MG"
"7936","312850",2022,0,45,"MG"
"7937","312850",2023,0,39,"MG"
"7938","312860",2021,0,72,"MG"
"7939","312870",2021,0,529,"MG"
"7940","312880",2021,0,92,"MG"
"7941","312880",2022,0,75,"MG"
"7942","312880",2023,0,91,"MG"
"7943","312890",2021,0,114,"MG"
"7944","312890",2023,0,120,"MG"
"7945","312900",2022,0,78,"MG"
"7946","312900",2023,0,88,"MG"
"7947","312910",2022,0,38,"MG"
"7948","312910",2023,0,34,"MG"
"7949","312930",2021,0,136,"MG"
"7950","312930",2022,0,114,"MG"
"7951","312930",2023,0,109,"MG"
"7952","312940",2021,0,54,"MG"
"7953","312940",2023,0,41,"MG"
"7954","312960",2021,0,96,"MG"
"7955","312960",2022,0,97,"MG"
"7956","312960",2023,0,93,"MG"
"7957","312970",2021,0,129,"MG"
"7958","312970",2022,0,143,"MG"
"7959","312990",2021,0,32,"MG"
"7960","312990",2022,0,31,"MG"
"7961","313000",2022,0,20,"MG"
"7962","313000",2023,0,22,"MG"
"7963","313005",2023,0,85,"MG"
"7964","313020",2022,0,141,"MG"
"7965","313020",2023,0,148,"MG"
