"CD_MUNICIPIO_BENEFICIARIO","ano","ans_30_a_39","ans_40_a_49","ans_menor_30","ans_total"
150563,2021,1,0,0,1
150590,2018,1,0,0,1
150613,2015,3,1,0,4
150613,2016,2,0,2,4
150613,2017,0,0,1,1
150613,2018,2,0,5,7
150613,2019,0,0,3,3
150613,2020,1,0,0,1
150613,2021,5,0,0,5
150613,2022,3,1,1,5
150616,2017,1,0,0,1
150618,2015,0,0,1,1
150618,2017,1,0,0,1
150618,2018,0,0,1,1
150618,2020,2,0,0,2
150618,2021,1,0,0,1
150619,2018,1,0,0,1
150620,2020,1,0,0,1
150650,2019,1,0,0,1
150650,2020,0,0,1,1
150650,2021,1,0,1,2
150660,2016,0,0,1,1
150670,2019,1,0,0,1
150680,2015,7,5,7,19
150680,2016,8,2,9,19
150680,2017,17,3,10,30
150680,2018,10,2,9,21
150680,2019,14,1,12,27
150680,2020,18,3,4,25
150680,2021,13,3,9,25
150680,2022,10,2,2,14
150715,2018,0,0,1,1
150730,2015,1,0,0,1
150740,2019,0,0,1,1
150760,2015,0,0,1,1
150760,2018,0,0,1,1
150760,2019,0,0,1,1
150760,2022,1,0,0,1
150775,2019,1,0,0,1
150790,2020,1,0,0,1
150795,2015,0,0,1,1
150795,2019,1,0,0,1
150795,2021,1,0,0,1
150795,2022,0,0,1,1
150800,2015,1,0,0,1
150800,2018,1,0,0,1
150800,2020,0,0,2,2
150808,2015,0,0,3,3
150808,2016,1,0,0,1
150808,2017,0,0,1,1
150808,2018,0,0,1,1
150808,2019,0,0,2,2
150808,2020,0,0,3,3
150808,2021,1,0,0,1
150810,2015,1,0,2,3
150810,2016,2,0,1,3
150810,2017,1,0,2,3
150810,2018,1,1,1,3
150810,2019,0,0,1,1
150810,2020,1,0,0,1
150810,2021,1,2,0,3
150810,2022,3,2,0,5
150812,2019,0,0,1,1
