UF,ANO,NOME,local,não_local,dentro_regiao_saude,dentro_macrorregiao_saude,fora_macrorregiao_saude,outra_uf,destino_total,km_partos_fora_municipio,km_partos_fora_municipio_alta_complexidade,km_partos_fora_municipio_baixa_complexidade,km_partos_na_região,km_partos_na_região_alta_complexidade,km_partos_na_região_baixa_complexidade,km_partos_na_macrorregião,km_partos_na_macrorregião_alta_complexidade,km_partos_na_macrorregião_baixa_complexidade,km_partos_fora_macrorregião,km_partos_fora_macrorregião_alta_complexidade,km_partos_fora_macrorregião_baixa_complexidade,km_partos_fora_UF,km_partos_fora_UF_alta_complexidade,km_partos_fora_UF_baixa_complexidade
21.0,2020, Maranhão,72122.0,33957.0,22884.0,6484.0,1529.0,3060.0,106079.0,46.3644,85.9903,43.336,32.2434,30.7115,32.8179,115.602,178.3107,100.5815,116.7552,322.4838,75.7975,67.4169,57.557389151173,72.3221
22.0,2012, Piauí,28484.0,19478.0,15112.0,1405.0,2481.0,480.0,47962.0,65.7705,98.627,51.8732,54.273,50.9611,72.014,101.3591,115.2442,85.0602,189.3052,199.6271,84.1283,59.9377,287.7558,59.7825
22.0,2013, Piauí,27311.0,19108.0,14606.0,1356.0,2771.0,375.0,46419.0,69.5281,101.8219,51.8753,54.273,71.7474,50.5201,109.1107,126.1038,97.6411,189.3052,207.1748,110.9327,80.7238,287.09365,56.9685
22.0,2014, Piauí,27707.0,20234.0,15445.0,1421.0,3026.0,342.0,47941.0,69.5281,98.627,52.4071,54.273,65.7705,51.8732,111.9356,133.1866,88.961,191.8292,208.5504,92.8651,90.98275,308.98135,59.7825
22.0,2015, Piauí,28011.0,21242.0,16178.0,1619.0,3135.0,310.0,49253.0,69.8756,97.1103,53.1245,54.273,65.7705,51.8732,113.3712,136.4863,100.3217,199.6271,225.6784,127.0357,59.7825,403.1497,56.38
22.0,2016, Piauí,27024.0,19962.0,15059.0,1617.0,2921.0,365.0,46986.0,69.8756,102.8041,53.2887,54.273,68.9992,51.7991,115.1648,152.6524,101.3591,207.1748,233.6598,127.0357,72.3221,230.7831,59.7825
22.0,2017, Piauí,27963.0,20588.0,15491.0,1889.0,2773.0,435.0,48551.0,70.2447,98.627,60.2828,56.4092,69.8756,52.3701,136.4863,189.8503,97.6411,194.6319,207.1748,180.7399,59.7825,174.4028,51.5394
22.0,2018, Piauí,27990.0,21500.0,16180.0,2220.0,2664.0,436.0,49490.0,69.8756,97.8016,60.2828,56.6616,68.9649,52.3701,138.7917,189.8503,91.8841,186.0721,189.3052,169.7991,58.6479,178.6971,56.38
22.0,2019, Piauí,26628.0,21305.0,15885.0,2375.0,2606.0,439.0,47933.0,70.2447,100.5378,59.7007,59.6534,69.8756,63.9930036768461,138.7917,189.8503,107.8381,192.473,207.1748,172.9371,59.7825,204.7098,56.38
22.0,2020, Piauí,25028.0,20201.0,14877.0,2428.0,2508.0,388.0,45229.0,76.3986,94.3201,60.9305,60.9305,69.8756,52.4071,144.85,184.0801,100.3217,192.473,207.1748,180.7399,81.79075,87.26445,74.5216
