"codmunres","ano","municipio","uf","regiao","nascidos","obitos_mat_totais","obitos_mat_diretos","obitos_mat_aborto","obitos_mat_hipertensao","obitos_mat_hemorragia","obitos_mat_infec_puerperal"
110026,2013,"Rio Crespo","RO","Norte",38,0,0,0,0,0,0
110026,2014,"Rio Crespo","RO","Norte",36,0,0,0,0,0,0
110026,2015,"Rio Crespo","RO","Norte",36,0,0,0,0,0,0
110026,2016,"Rio Crespo","RO","Norte",35,0,0,0,0,0,0
110026,2017,"Rio Crespo","RO","Norte",49,0,0,0,0,0,0
110026,2018,"Rio Crespo","RO","Norte",46,0,0,0,0,0,0
110026,2019,"Rio Crespo","RO","Norte",50,0,0,0,0,0,0
110026,2020,"Rio Crespo","RO","Norte",48,0,0,0,0,0,0
110028,2012,"Rolim de Moura","RO","Norte",927,1,1,0,0,0,1
110028,2013,"Rolim de Moura","RO","Norte",879,0,0,0,0,0,0
110028,2014,"Rolim de Moura","RO","Norte",947,0,0,0,0,0,0
110028,2015,"Rolim de Moura","RO","Norte",936,1,0,0,0,0,0
110028,2016,"Rolim de Moura","RO","Norte",855,1,1,0,0,0,0
110028,2017,"Rolim de Moura","RO","Norte",963,0,0,0,0,0,0
110028,2018,"Rolim de Moura","RO","Norte",900,0,0,0,0,0,0
110028,2019,"Rolim de Moura","RO","Norte",927,0,0,0,0,0,0
110028,2020,"Rolim de Moura","RO","Norte",877,0,0,0,0,0,0
110029,2012,"Santa Luzia D'Oeste","RO","Norte",118,0,0,0,0,0,0
110029,2013,"Santa Luzia D'Oeste","RO","Norte",98,0,0,0,0,0,0
110029,2014,"Santa Luzia D'Oeste","RO","Norte",103,0,0,0,0,0,0
110029,2015,"Santa Luzia D'Oeste","RO","Norte",109,0,0,0,0,0,0
110029,2016,"Santa Luzia D'Oeste","RO","Norte",114,0,0,0,0,0,0
110029,2017,"Santa Luzia D'Oeste","RO","Norte",112,0,0,0,0,0,0
110029,2018,"Santa Luzia D'Oeste","RO","Norte",103,0,0,0,0,0,0
110029,2019,"Santa Luzia D'Oeste","RO","Norte",99,0,0,0,0,0,0
110029,2020,"Santa Luzia D'Oeste","RO","Norte",99,0,0,0,0,0,0
110030,2012,"Vilhena","RO","Norte",1269,2,1,0,0,0,1
110030,2013,"Vilhena","RO","Norte",1388,3,3,0,1,0,0
110030,2014,"Vilhena","RO","Norte",1418,3,3,0,0,1,1
110030,2015,"Vilhena","RO","Norte",1535,1,1,0,0,0,1
110030,2016,"Vilhena","RO","Norte",1427,0,0,0,0,0,0
110030,2017,"Vilhena","RO","Norte",1465,0,0,0,0,0,0
110030,2018,"Vilhena","RO","Norte",1557,1,1,0,0,1,0
110030,2019,"Vilhena","RO","Norte",1590,0,0,0,0,0,0
110030,2020,"Vilhena","RO","Norte",1553,2,0,0,0,0,0
110032,2012,"São Miguel do Guaporé","RO","Norte",313,0,0,0,0,0,0
110032,2013,"São Miguel do Guaporé","RO","Norte",355,0,0,0,0,0,0
110032,2014,"São Miguel do Guaporé","RO","Norte",364,0,0,0,0,0,0
110032,2015,"São Miguel do Guaporé","RO","Norte",311,0,0,0,0,0,0
110032,2016,"São Miguel do Guaporé","RO","Norte",337,1,1,0,0,1,0
110032,2017,"São Miguel do Guaporé","RO","Norte",372,0,0,0,0,0,0
110032,2018,"São Miguel do Guaporé","RO","Norte",391,0,0,0,0,0,0
110032,2019,"São Miguel do Guaporé","RO","Norte",353,0,0,0,0,0,0
110032,2020,"São Miguel do Guaporé","RO","Norte",363,0,0,0,0,0,0
110033,2012,"Nova Mamoré","RO","Norte",383,1,1,0,0,0,1
110033,2013,"Nova Mamoré","RO","Norte",416,0,0,0,0,0,0
