"codmunres","municipio","regiao","cod_r_saude","r_saude","cod_macro_r_saude","macro_r_saude","uf","idhm"
"122",130353,"Presidente Figueiredo","Norte",13001,"Manaus e Alto Rio Negro",1304,"Central","Amazonas","0.647"
"123",130356,"Rio Preto da Eva","Norte",13001,"Manaus e Alto Rio Negro",1304,"Central","Amazonas","0.611"
"124",130360,"Santa Isabel do Rio Negro","Norte",13001,"Manaus e Alto Rio Negro",1304,"Central","Amazonas","0.479"
"125",130370,"Santo Antônio do Içá","Norte",13009,"Alto Solimões",1302,"Oeste","Amazonas","0.49"
"126",130380,"São Gabriel da Cachoeira","Norte",13001,"Manaus e Alto Rio Negro",1304,"Central","Amazonas","0.609"
"127",130390,"São Paulo de Olivença","Norte",13009,"Alto Solimões",1302,"Oeste","Amazonas","0.521"
"128",130395,"São Sebastião do Uatumã","Norte",13004,"Médio Amazonas",1303,"Leste","Amazonas","0.577"
"129",130400,"Silves","Norte",13004,"Médio Amazonas",1303,"Leste","Amazonas","0.632"
"130",130406,"Tabatinga","Norte",13009,"Alto Solimões",1302,"Oeste","Amazonas","0.616"
"131",130410,"Tapauá","Norte",13006,"Regional Purus",1304,"Central","Amazonas","0.502"
"132",130420,"Tefé","Norte",13008,"Triângulo",1302,"Oeste","Amazonas","0.639"
"133",130423,"Tonantins","Norte",13009,"Alto Solimões",1302,"Oeste","Amazonas","0.548"
"134",130426,"Uarini","Norte",13008,"Triângulo",1302,"Oeste","Amazonas","0.527"
"135",130430,"Urucará","Norte",13004,"Médio Amazonas",1303,"Leste","Amazonas","0.62"
"136",130440,"Urucurituba","Norte",13004,"Médio Amazonas",1303,"Leste","Amazonas","0.588"
"137",140002,"Amajari","Norte",14001,"Centro Norte",1401,"Macro-Roraima","Roraima","0.484"
"138",140005,"Alto Alegre","Norte",14001,"Centro Norte",1401,"Macro-Roraima","Roraima","0.542"
"139",140010,"Boa Vista","Norte",14001,"Centro Norte",1401,"Macro-Roraima","Roraima","0.752"
"140",140015,"Bonfim","Norte",14001,"Centro Norte",1401,"Macro-Roraima","Roraima","0.626"
"141",140017,"Cantá","Norte",14001,"Centro Norte",1401,"Macro-Roraima","Roraima","0.619"
"142",140020,"Caracaraí","Norte",14002,"Sul",1401,"Macro-Roraima","Roraima","0.624"
"143",140023,"Caroebe","Norte",14002,"Sul",1401,"Macro-Roraima","Roraima","0.639"
"144",140028,"Iracema","Norte",14002,"Sul",1401,"Macro-Roraima","Roraima","0.582"
"145",140030,"Mucajaí","Norte",14001,"Centro Norte",1401,"Macro-Roraima","Roraima","0.665"
