CODMUNRES,ANO,TOTAL_DE_NASCIDOS_VIVOS,NASCIDOS_VIVOS_COM_BAIXO_PESO,NASCIDOS_VIVOS_PREMATUROS,NASCIDOS_VIVOS_TERMO_PRECOCE
110060,2017,71.0,4.0,3.0,8.0
110060,2018,80.0,7.0,6.0,24.0
110060,2019,75.0,5.0,8.0,22.0
110060,2020,70.0,5.0,4.0,33.0
110070,2012,164.0,7.0,18.0,45.0
110070,2013,183.0,10.0,15.0,45.0
110070,2014,181.0,12.0,21.0,61.0
110070,2015,156.0,6.0,10.0,46.0
110070,2016,162.0,12.0,18.0,42.0
110070,2017,174.0,16.0,17.0,55.0
110070,2018,195.0,15.0,19.0,60.0
110070,2019,166.0,10.0,17.0,57.0
110070,2020,173.0,10.0,14.0,72.0
110080,2012,430.0,38.0,58.0,89.0
110080,2013,405.0,35.0,56.0,69.0
110080,2014,296.0,16.0,20.0,72.0
110080,2015,323.0,31.0,39.0,80.0
110080,2016,372.0,21.0,35.0,83.0
110080,2017,397.0,26.0,36.0,98.0
110080,2018,421.0,29.0,41.0,87.0
110080,2019,337.0,17.0,23.0,83.0
110080,2020,344.0,29.0,32.0,78.0
110090,2012,53.0,4.0,7.0,16.0
110090,2013,36.0,3.0,5.0,8.0
110090,2014,46.0,3.0,5.0,9.0
110090,2015,52.0,2.0,4.0,16.0
110090,2016,55.0,5.0,4.0,21.0
110090,2017,39.0,3.0,1.0,15.0
110090,2018,56.0,3.0,7.0,19.0
110090,2019,32.0,2.0,3.0,11.0
110090,2020,37.0,0.0,2.0,16.0
110092,2012,118.0,15.0,14.0,37.0
110092,2013,158.0,11.0,11.0,48.0
110092,2014,158.0,7.0,13.0,53.0
110092,2015,154.0,10.0,7.0,48.0
110092,2016,153.0,10.0,7.0,54.0
110092,2017,169.0,11.0,15.0,60.0
110092,2018,181.0,7.0,8.0,60.0
110092,2019,162.0,6.0,5.0,55.0
110092,2020,162.0,10.0,15.0,47.0
110094,2012,161.0,14.0,22.0,38.0
110094,2013,203.0,16.0,20.0,49.0
110094,2014,240.0,25.0,22.0,67.0
110094,2015,274.0,17.0,22.0,84.0
110094,2016,241.0,23.0,16.0,52.0
110094,2017,209.0,13.0,11.0,28.0
110094,2018,229.0,13.0,16.0,55.0
110094,2019,205.0,6.0,22.0,54.0
110094,2020,246.0,18.0,29.0,69.0
110100,2012,133.0,5.0,16.0,38.0
110100,2013,116.0,12.0,16.0,36.0
110100,2014,124.0,12.0,9.0,39.0
110100,2015,132.0,4.0,6.0,42.0
110100,2016,112.0,7.0,3.0,36.0
110100,2017,109.0,6.0,5.0,40.0
110100,2018,133.0,7.0,6.0,36.0
110100,2019,112.0,5.0,8.0,42.0
110100,2020,86.0,3.0,6.0,29.0
110110,2012,114.0,2.0,9.0,29.0
110110,2013,123.0,12.0,12.0,27.0
110110,2014,97.0,8.0,13.0,30.0
110110,2015,112.0,4.0,8.0,23.0
110110,2016,129.0,9.0,14.0,26.0
110110,2017,95.0,9.0,9.0,17.0
110110,2018,92.0,9.0,10.0,17.0
110110,2019,109.0,3.0,8.0,28.0
110110,2020,119.0,9.0,14.0,37.0
110120,2012,100.0,6.0,17.0,29.0
110120,2013,104.0,7.0,11.0,44.0
110120,2014,107.0,3.0,7.0,43.0
110120,2015,93.0,6.0,10.0,30.0
110120,2016,93.0,10.0,8.0,42.0
110120,2017,100.0,11.0,11.0,35.0
110120,2018,92.0,4.0,8.0,32.0
110120,2019,84.0,7.0,11.0,41.0
110120,2020,74.0,4.0,9.0,33.0
110130,2012,148.0,11.0,17.0,35.0
110130,2013,122.0,6.0,12.0,34.0
110130,2014,137.0,9.0,14.0,42.0
110130,2015,179.0,17.0,22.0,61.0
110130,2016,148.0,15.0,16.0,45.0
110130,2017,156.0,6.0,12.0,53.0
110130,2018,160.0,16.0,20.0,53.0
110130,2019,164.0,13.0,23.0,55.0
110130,2020,168.0,11.0,27.0,68.0
110140,2012,170.0,8.0,15.0,41.0
110140,2013,223.0,10.0,16.0,62.0
110140,2014,204.0,9.0,20.0,68.0
110140,2015,240.0,16.0,20.0,76.0
110140,2016,173.0,8.0,6.0,34.0
110140,2017,200.0,12.0,16.0,29.0
110140,2018,220.0,17.0,18.0,67.0
110140,2019,199.0,16.0,15.0,73.0
110140,2020,167.0,7.0,13.0,63.0
110143,2012,99.0,13.0,12.0,18.0
110143,2013,82.0,1.0,6.0,29.0
110143,2014,110.0,1.0,2.0,36.0
110143,2015,73.0,6.0,12.0,12.0
110143,2016,90.0,5.0,8.0,22.0
110143,2017,94.0,6.0,10.0,32.0
110143,2018,87.0,2.0,3.0,30.0
110143,2019,104.0,10.0,7.0,46.0
110143,2020,87.0,10.0,7.0,39.0
110145,2012,63.0,6.0,9.0,21.0
110145,2013,55.0,4.0,4.0,18.0
110145,2014,49.0,0.0,2.0,14.0
110145,2015,54.0,2.0,4.0,20.0
110145,2016,50.0,1.0,2.0,19.0
110145,2017,51.0,2.0,4.0,19.0
110145,2018,53.0,3.0,3.0,21.0
110145,2019,44.0,6.0,8.0,16.0
110145,2020,59.0,5.0,7.0,22.0
110146,2012,51.0,3.0,2.0,5.0
110146,2013,42.0,3.0,4.0,8.0
110146,2014,37.0,3.0,2.0,15.0
110146,2015,52.0,1.0,1.0,17.0
110146,2016,34.0,3.0,2.0,13.0
110146,2017,52.0,3.0,4.0,18.0
